Número de extracción;Fecha;Numero de compresor en servicio;Presión de succión (kg/cm2);Temperatura de succión (°C);Presión de descarga (kg/cm2);Temperatura de descarga (°C);Presión de aceite (kg/cm2);Presión en tanque recibidor (MPa);Presión de acumulador (MPa);Presión en camisa de votator A (kg/cm2);Presión en camisa de votator B (kg/cm2);Presión en camisa de votator C (MPa);Posición bomba triplex 1 (osc/min);Posición bomba triplex 2 (osc/min);Posición bomba triplex 3 (osc/min)
145;6/7/2020 6:30:00 AM;1;1,8;6;9,6;76;4,8;10;2;2,8;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
145;6/7/2020 6:30:00 AM;4;2,6;Sin medicion;10,2;Sin medicion;5,6;0,96;2,5;Sin medicion;Sin medicion;Sin medicion;Sin medicion;Sin medicion;25
145;6/7/2020 3:00:00 PM;1;1,8;8;9,5;78;5,2;0,11;0,21;2,8;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
145;6/7/2020 3:00:00 PM;4;2;Sin medicion;9,5;Sin medicion;5,4;0,97;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
146;6/8/2020 1:47:02 AM;1;1,9;6;10;74;4,8;1,4;0,23;0,3;0,3;Sin medicion;30;30;Sin medicion
146;6/8/2020 1:47:02 AM;4;2,6;Sin medicion;11;Sin medicion;5;0,99;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
146;6/8/2020 7:00:00 AM;1;1,8;8;9;79;5,2;0,1;0,2;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
146;6/8/2020 7:00:00 AM;4;2,4;Sin medicion;10;Sin medicion;5,3;0,95;0,22;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
147;6/9/2020 7:00:00 AM;1;1,8;8;9;78;5,3;0,95;0,2;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
147;6/9/2020 7:00:00 AM;4;1,9;Sin medicion;9,9;Sin medicion;5,3;0,97;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
147;6/9/2020 3:00:00 PM;1;1,8;8;9;78;5,3;0,1;0,2;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
147;6/9/2020 3:00:00 PM;4;2,5;Sin medicion;10;Sin medicion;5,3;0,96;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
148;6/9/2020 11:00:00 PM;1;2;6;9,4;76;5;9,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
148;6/9/2020 11:00:00 PM;4;2,4;Sin medicion;10;Sin medicion;5,4;0,94;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
148;6/10/2020 2:00:00 AM;1;2;5;9,2;75;5;9,6;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
148;6/10/2020 2:00:00 AM;4;2,3;Sin medicion;10;Sin medicion;5,3;0,93;2,3;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
148;6/10/2020 7:00:00 AM;1;1,8;8;9,5;79;5,3;0,1;0,2;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
148;6/10/2020 7:00:00 AM;4;2,5;Sin medicion;10;Sin medicion;5,2;0,96;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
148;6/10/2020 4:00:00 PM;1;2;8;10;80;5,3;0,1;0,2;2,9;2,9;Sin medicion;2,9;Sin medicion;Sin medicion
148;6/10/2020 4:00:00 PM;4;2,3;Sin medicion;10;Sin medicion;5;0,98;2,1;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
148;6/10/2020 6:30:00 PM;1;2;6;9,6;76;5;10;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
148;6/10/2020 6:30:00 PM;4;2;Sin medicion;10,2;Sin medicion;5;0,96;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
149;6/11/2020 4:00:00 AM;1;2;5;9,4;75;5;9,8;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
149;6/11/2020 4:00:00 AM;4;2,4;Sin medicion;1;Sin medicion;5,4;0,93;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
149;6/12/2020 12:00:00 AM;1;1,8;9;9;79;5,2;0,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
149;6/12/2020 12:00:00 AM;4;2;Sin medicion;10;Sin medicion;5,1;0,95;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
149;6/12/2020 8:32:53 AM;1;1,8;7;10;78;4,5;1,3;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
149;6/12/2020 8:32:53 AM;4;2,3;Sin medicion;11;Sin medicion;5;0,99;0,29;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
149;6/12/2020 2:54:15 PM;1;2;8;10,6;78;4,5;1,2;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
149;6/12/2020 2:54:15 PM;4;2;Sin medicion;11;Sin medicion;5;0,98;0,26;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
149;6/13/2020 7:47:36 AM;1;1,9;6;10,6;76;4,6;1,3;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
149;6/13/2020 7:47:36 AM;4;2,3;Sin medicion;11;Sin medicion;5;0,99;0,29;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
150;6/14/2020 6:30:00 AM;1;2;5;9,6;75;5;10;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
150;6/14/2020 6:30:00 AM;4;2,4;Sin medicion;1;Sin medicion;5,5;0,94;2,5;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
150;6/14/2020 1:00:00 PM;1;2,1;7;9,8;78;5;10,2;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
150;6/14/2020 1:00:00 PM;4;2,4;Sin medicion;10,5;Sin medicion;5,5;0,98;2,5;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
150;6/15/2020 9:00:00 AM;1;2;6;9,6;77;5;10;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
150;6/15/2020 9:00:00 AM;4;2,4;Sin medicion;10,2;Sin medicion;5,5;0,96;2,5;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
150;6/15/2020 2:00:00 PM;1;2,1;8;10;79;5;10,4;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
150;6/15/2020 2:00:00 PM;4;2,4;Sin medicion;10,6;Sin medicion;5,5;1;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
150;6/15/2020 8:17:32 PM;1;1,9;6;10,5;78;4,6;1,2;0,2;0,29;0,29;Sin medicion;30;30;Sin medicion
150;6/15/2020 8:17:32 PM;4;2,5;Sin medicion;11;Sin medicion;5;0,99;0,28;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
150;6/16/2020 8:00:00 AM;1;1,8;6;9;78;5;0,95;0,2;2,8;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
150;6/16/2020 8:00:00 AM;4;2,5;Sin medicion;10,2;Sin medicion;5,2;0,96;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
150;6/16/2020 7:37:28 PM;1;1,9;7;10,5;65;4,6;1,3;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
150;6/16/2020 7:37:28 PM;4;2;Sin medicion;11;Sin medicion;5;0,98;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
151;6/17/2020 1:00:00 PM;1;1,9;9;10;80;5,3;0,11;2,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
151;6/17/2020 1:00:00 PM;4;2,1;Sin medicion;10;Sin medicion;5,1;0,95;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
151;6/17/2020 6:30:00 PM;1;1,8;6;9,6;76;5;10;2,1;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
151;6/17/2020 6:30:00 PM;4;2,4;Sin medicion;10,4;Sin medicion;5,4;0,98;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
151;6/18/2020 1:30:00 AM;1;1,8;5;9,4;75;4,8;9,8;2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
151;6/18/2020 1:30:00 AM;4;2,3;Sin medicion;10;Sin medicion;5,3;0,93;2,3;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
151;6/18/2020 7:00:00 AM;1;1,8;7;9;76;5,2;0,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
151;6/18/2020 7:00:00 AM;4;2,2;Sin medicion;10;Sin medicion;5,2;0,96;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
151;6/18/2020 6:30:00 PM;1;1,8;6;9,4;76;4,8;9,8;2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
151;6/18/2020 6:30:00 PM;4;2,4;Sin medicion;10,3;Sin medicion;5,4;0,97;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
151;6/19/2020 1:00:00 AM;1;1,8;4;9,6;74;4,8;10;2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
151;6/19/2020 1:00:00 AM;4;2,3;Sin medicion;10;Sin medicion;5,3;0,93;2,3;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
151;6/20/2020 1:00:00 AM;1;1,8;8;10;78;5,3;0,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
151;6/20/2020 1:00:00 AM;4;2,5;Sin medicion;10,2;Sin medicion;5,2;0,1;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
151;6/20/2020 7:05:30 AM;1;1,9;7;10,6;76;4,6;1,4;0,2;0,3;0,3;Sin medicion;30;30;Sin medicion
151;6/20/2020 7:05:30 AM;4;2,6;Sin medicion;11;Sin medicion;5;1;0,26;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
152;6/21/2020 12:57:18 PM;1;1,9;7;10,2;78;4,5;1,5;0,21;0,3;0,3;Sin medicion;30;30;Sin medicion
152;6/21/2020 12:57:18 PM;4;2,3;Sin medicion;11;Sin medicion;5;1;0,29;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
152;6/22/2020 7:37:07 AM;1;1,9;6;10,6;74;4,6;1,5;0,21;0,3;0,3;Sin medicion;30;30;Sin medicion
152;6/22/2020 7:37:07 AM;4;2,3;Sin medicion;11;Sin medicion;5;1;0,26;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
152;6/23/2020 6:30:00 AM;1;1,6;4;9,2;74;4,8;9,6;2;2,9;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
152;6/23/2020 6:30:00 AM;4;2,7;Sin medicion;10,2;Sin medicion;5,4;0,95;2,5;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
152;6/23/2020 1:00:00 PM;1;1,6;6;9,6;76;4,8;9,8;2;2,9;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
152;6/23/2020 1:00:00 PM;4;2,7;Sin medicion;10,6;Sin medicion;5,4;1;2,5;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
152;6/23/2020 6:30:00 PM;1;1,9;6;10,2;74;4,6;1,5;0,21;0,3;0,3;Sin medicion;30;30;Sin medicion
152;6/23/2020 6:30:00 PM;4;2,3;Sin medicion;11;Sin medicion;5;1;0,26;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
153;6/24/2020 12:00:00 PM;1;2;8;10;79;5,2;0,1;0,2;2,8;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
153;6/24/2020 12:00:00 PM;4;2,6;Sin medicion;10,2;Sin medicion;5,1;0,96;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
153;6/25/2020 11:30:00 AM;1;1,8;9;10;80;5,3;0,1;0,23;2,8;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
153;6/25/2020 11:30:00 AM;4;2;Sin medicion;10;Sin medicion;5,1;0,96;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
153;6/25/2020 8:00:00 PM;1;2,2;7;10;77;5,1;10,4;2,4;3;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
153;6/25/2020 8:00:00 PM;4;2,6;Sin medicion;10,5;Sin medicion;5,6;1;2,5;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
153;6/26/2020 2:00:00 AM;1;2;5;9,6;75;5;10;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
153;6/26/2020 2:00:00 AM;4;2,4;Sin medicion;10,2;Sin medicion;5,4;0,95;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
153;6/26/2020 8:00:00 AM;1;1,9;9;10;80;5,3;0,1;0,21;2,8;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
153;6/26/2020 8:00:00 AM;4;2,5;Sin medicion;10,1;Sin medicion;5,3;0,96;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
153;6/26/2020 6:30:00 PM;1;2;6;9,8;76;5;10,2;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
153;6/26/2020 6:30:00 PM;4;2,5;Sin medicion;10,4;Sin medicion;5,5;0,98;2,5;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
153;6/27/2020 1:00:00 AM;1;2;5;9,6;75;5;10;2,1;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
153;6/27/2020 1:00:00 AM;4;2,4;Sin medicion;10;Sin medicion;5,4;0,94;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
153;6/27/2020 7:00:00 AM;1;2;8;10;80;5,3;1,03;0,2;2,8;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
153;6/27/2020 7:00:00 AM;4;2,5;Sin medicion;10,2;Sin medicion;5,2;1;0,24;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
154;6/28/2020 2:40:31 PM;1;2;6;10,2;78;4,6;1,5;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
154;6/28/2020 2:40:31 PM;4;2,3;Sin medicion;11;Sin medicion;5;1;0,26;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
154;6/28/2020 8:00:00 PM;1;2;9;10;80;5,2;0,1;0,2;2,8;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
154;6/28/2020 8:00:00 PM;4;2,5;Sin medicion;10;Sin medicion;5,1;0,98;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
154;6/29/2020 3:00:00 AM;1;1,9;8;10;80;5,1;0,1;0,21;2,9;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
154;6/29/2020 3:00:00 AM;4;2,5;Sin medicion;10,1;Sin medicion;5,2;0,96;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
154;6/29/2020 6:27:20 AM;1;1,9;7;10,2;74;4,6;1,4;0,23;0,3;0,3;Sin medicion;30;30;Sin medicion
154;6/29/2020 6:27:20 AM;4;2,2;Sin medicion;11;Sin medicion;5;1;0,26;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
154;6/29/2020 3:30:00 PM;1;1,9;7;10,2;78;4,5;1,4;0,21;0,3;0,3;Sin medicion;30;30;Sin medicion
154;6/29/2020 3:30:00 PM;4;2,4;Sin medicion;11;Sin medicion;5;1,1;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
154;6/30/2020 7:31:21 AM;1;1,9;7;10,2;78;4,5;1,5;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
154;6/30/2020 7:31:21 AM;4;2,3;Sin medicion;11;Sin medicion;5;1,1;0,26;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
155;7/1/2020 11:00:00 AM;2;2,6;7;10;58;4,8;10,2;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
155;7/1/2020 11:00:00 AM;4;1,8;Sin medicion;10,2;Sin medicion;5;0,98;1,8;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
155;7/1/2020 4:00:00 PM;2;2,5;7;10;69;4,8;10,2;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
155;7/1/2020 4:00:00 PM;4;2;Sin medicion;10,4;Sin medicion;5;0,98;2;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
